epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8569.1,1.55904,1.2182,1.0377,0.36049,0.2578,0.24322,0.13574,1.47924,1.13399,0.99875,0.00898525,0.00898525,0.00898525
43,8773.62,1.56115,1.2204,1.03755,0.33688,0.26704,0.24799,0.13749,1.47203,1.12678,0.99884,0.0089605,0.0089605,0.0089605
44,8978.08,1.55397,1.21294,1.03404,0.35366,0.25869,0.24783,0.13817,1.46676,1.12492,0.99836,0.00893575,0.00893575,0.00893575
45,9182.67,1.54988,1.20755,1.03532,0.35555,0.26582,0.24642,0.13666,1.46977,1.12126,0.99634,0.008911,0.008911,0.008911
46,9386.33,1.54872,1.20187,1.03394,0.35537,0.26863,0.25245,0.14069,1.45911,1.11479,0.99417,0.00888625,0.00888625,0.00888625
47,9590.67,1.54483,1.19797,1.03552,0.34918,0.26493,0.24936,0.13938,1.45649,1.11791,0.9919,0.0088615,0.0088615,0.0088615
48,9794.87,1.54645,1.19696,1.03455,0.35782,0.26695,0.24912,0.13887,1.46148,1.11757,0.99357,0.00883675,0.00883675,0.00883675
49,9998.41,1.53602,1.18432,1.03065,0.35543,0.27212,0.25384,0.14118,1.45696,1.10814,0.99237,0.008812,0.008812,0.008812
50,10202.6,1.54066,1.18828,1.03461,0.35488,0.27389,0.25592,0.14346,1.45106,1.10471,0.99095,0.00878725,0.00878725,0.00878725
51,10406.7,1.54382,1.18924,1.0299,0.35433,0.27406,0.25838,0.14453,1.4471,1.10342,0.99046,0.0087625,0.0087625,0.0087625
52,10611.7,1.5328,1.18455,1.03157,0.35909,0.26732,0.25423,0.14284,1.45598,1.10567,0.99091,0.00873775,0.00873775,0.00873775
53,10815.6,1.55311,1.19759,1.0302,0.36155,0.27732,0.2586,0.14406,1.47845,1.1342,0.98864,0.008713,0.008713,0.008713
54,11019.3,1.56206,1.20719,1.02497,0.37026,0.27673,0.26135,0.14727,1.48181,1.13812,0.98662,0.00868825,0.00868825,0.00868825
55,11223.3,1.56285,1.2083,1.02435,0.36515,0.27109,0.25911,0.14642,1.48395,1.1352,0.98311,0.0086635,0.0086635,0.0086635
56,11426.9,1.56035,1.20467,1.0186,0.36439,0.28287,0.26461,0.14923,1.47925,1.13281,0.9819,0.00863875,0.00863875,0.00863875
57,11631.5,1.57256,1.21359,1.01934,0.36789,0.27951,0.26275,0.14762,1.47579,1.132,0.97792,0.008614,0.008614,0.008614
58,11835.3,1.55912,1.20089,1.0155,0.36709,0.27947,0.26453,0.14936,1.47387,1.13116,0.97849,0.00858925,0.00858925,0.00858925
59,12039,1.55203,1.19698,1.01227,0.37611,0.27782,0.26637,0.15035,1.46815,1.12534,0.975,0.0085645,0.0085645,0.0085645
60,12243.3,1.55089,1.19701,1.00864,0.36753,0.2783,0.26652,0.15164,1.46875,1.12326,0.97618,0.00853975,0.00853975,0.00853975
