epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7835.64,1.6703,1.33659,1.03088,0.31992,0.26041,0.23504,0.1285,1.57577,1.23872,0.99713,0.00898525,0.00898525,0.00898525
43,8021.92,1.66611,1.3376,1.0316,0.32973,0.26547,0.2393,0.13046,1.5701,1.23221,0.99869,0.0089605,0.0089605,0.0089605
44,8208.02,1.65655,1.32612,1.02962,0.3265,0.26127,0.24128,0.13156,1.56985,1.22545,0.99779,0.00893575,0.00893575,0.00893575
45,8393.91,1.65363,1.32071,1.02931,0.31303,0.2673,0.23891,0.13124,1.56566,1.22851,0.99543,0.008911,0.008911,0.008911
46,8578.81,1.64972,1.31484,1.02732,0.33088,0.26155,0.24171,0.13258,1.54927,1.22244,0.99082,0.00888625,0.00888625,0.00888625
47,8764.79,1.64518,1.31634,1.02368,0.32912,0.26579,0.24314,0.13278,1.55242,1.22313,0.99328,0.0088615,0.0088615,0.0088615
48,8950.43,1.64451,1.3094,1.02587,0.33609,0.27008,0.24562,0.13369,1.55119,1.21018,0.99094,0.00883675,0.00883675,0.00883675
49,9136.4,1.64336,1.31507,1.02477,0.33139,0.26872,0.24558,0.13298,1.55139,1.21019,0.99199,0.008812,0.008812,0.008812
50,9322.15,1.64084,1.30099,1.02236,0.35129,0.26563,0.24796,0.13494,1.54,1.20318,0.99007,0.00878725,0.00878725,0.00878725
51,9508.65,1.6419,1.30479,1.02089,0.33982,0.26863,0.24637,0.13477,1.53513,1.20598,0.98571,0.0087625,0.0087625,0.0087625
52,9693.94,1.62964,1.29413,1.02054,0.35652,0.26817,0.25035,0.13689,1.53721,1.20058,0.98616,0.00873775,0.00873775,0.00873775
53,9881.65,1.63517,1.29589,1.01653,0.33943,0.27189,0.24947,0.13562,1.54141,1.19735,0.98745,0.008713,0.008713,0.008713
54,10069.4,1.62959,1.28915,1.01585,0.3429,0.27223,0.25115,0.13733,1.52697,1.19137,0.98424,0.00868825,0.00868825,0.00868825
55,10256.7,1.62432,1.28386,1.01517,0.34613,0.26833,0.25072,0.13918,1.53118,1.19145,0.98319,0.0086635,0.0086635,0.0086635
56,10445.5,1.62239,1.28322,1.01666,0.33476,0.27171,0.25015,0.13661,1.53478,1.19438,0.98393,0.00863875,0.00863875,0.00863875
57,10631.9,1.61968,1.28289,1.01481,0.33268,0.26978,0.25169,0.13893,1.52122,1.18524,0.97987,0.008614,0.008614,0.008614
58,10819.4,1.61817,1.2815,1.00852,0.34725,0.27432,0.25451,0.13887,1.52374,1.18057,0.9796,0.00858925,0.00858925,0.00858925
59,11008.1,1.61803,1.2841,1.01125,0.35592,0.27292,0.25565,0.13928,1.51756,1.18066,0.97902,0.0085645,0.0085645,0.0085645
60,11197.1,1.61512,1.27275,1.00973,0.34946,0.27302,0.25754,0.13917,1.51364,1.17475,0.97866,0.00853975,0.00853975,0.00853975
61,11385,1.61123,1.27661,1.00923,0.34392,0.27267,0.25709,0.14154,1.51559,1.17554,0.97783,0.008515,0.008515,0.008515
62,11572.5,1.60151,1.26486,1.00618,0.35539,0.27848,0.25754,0.14227,1.50752,1.17073,0.9744,0.00849025,0.00849025,0.00849025
63,11760.8,1.60535,1.26677,1.00432,0.352,0.2757,0.2559,0.14202,1.5111,1.17427,0.97479,0.0084655,0.0084655,0.0084655
64,11947.8,1.60149,1.26624,1.00306,0.36026,0.28167,0.26204,0.14472,1.50718,1.16808,0.97437,0.00844075,0.00844075,0.00844075
65,12135.7,1.59534,1.25807,1.00279,0.3593,0.2778,0.2609,0.14443,1.50282,1.16049,0.97208,0.008416,0.008416,0.008416
66,12323.1,1.58703,1.24743,0.99937,0.35283,0.28143,0.26219,0.14387,1.50302,1.16053,0.97142,0.00839125,0.00839125,0.00839125
67,12511.4,1.59286,1.25063,0.9986,0.35931,0.27565,0.26422,0.14569,1.49925,1.15971,0.96912,0.0083665,0.0083665,0.0083665
68,12699.4,1.5814,1.23946,0.99384,0.359,0.27967,0.26005,0.1443,1.49484,1.16096,0.96807,0.00834175,0.00834175,0.00834175
69,12886.6,1.58389,1.24564,0.99333,0.3616,0.28024,0.26196,0.14488,1.49484,1.15938,0.96767,0.008317,0.008317,0.008317
70,13074.3,1.58203,1.24303,0.99281,0.36318,0.28315,0.26645,0.14722,1.49347,1.1529,0.96672,0.00829225,0.00829225,0.00829225
71,13262.3,1.58155,1.23911,0.99256,0.36416,0.28598,0.26681,0.14873,1.48744,1.14913,0.96528,0.0082675,0.0082675,0.0082675
72,13450.4,1.58024,1.23618,0.98869,0.35536,0.28886,0.26724,0.14913,1.48965,1.14813,0.96232,0.00824275,0.00824275,0.00824275
73,13638.3,1.57763,1.23327,0.98732,0.35407,0.28828,0.26649,0.14917,1.48113,1.14446,0.96036,0.008218,0.008218,0.008218
74,13825.5,1.57515,1.23594,0.98642,0.37022,0.28318,0.26777,0.14927,1.48086,1.14269,0.95949,0.00819325,0.00819325,0.00819325
75,14013.9,1.57285,1.23443,0.9872,0.36181,0.28683,0.26783,0.14918,1.47813,1.14045,0.95864,0.0081685,0.0081685,0.0081685
