epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6369.12,1.54519,1.19608,1.03377,0.35994,0.26454,0.24867,0.13924,1.44178,1.08985,0.99331,0.008614,0.008614,0.008614
44,6516.84,1.53391,1.18308,1.03091,0.34589,0.26111,0.24515,0.13825,1.44761,1.09587,0.99272,0.008581,0.008581,0.008581
45,6664.4,1.53095,1.18021,1.03066,0.34843,0.26355,0.2485,0.13921,1.44387,1.08731,0.99192,0.008548,0.008548,0.008548
46,6811.42,1.52946,1.17135,1.03053,0.35588,0.26918,0.25264,0.14247,1.43503,1.07834,0.989,0.008515,0.008515,0.008515
47,6959.61,1.52255,1.17272,1.02499,0.35234,0.26626,0.25211,0.14148,1.43984,1.08664,0.99008,0.008482,0.008482,0.008482
48,7107.06,1.52199,1.16361,1.02742,0.34527,0.26896,0.25266,0.14105,1.44106,1.07946,0.99137,0.008449,0.008449,0.008449
49,7254.64,1.51896,1.16622,1.02647,0.35383,0.27157,0.2542,0.14266,1.43629,1.07564,0.98818,0.008416,0.008416,0.008416
50,7402.69,1.51646,1.15558,1.02408,0.36564,0.27554,0.25579,0.14441,1.4316,1.07519,0.98632,0.008383,0.008383,0.008383
51,7550.92,1.51924,1.16132,1.02456,0.36012,0.27296,0.2589,0.1451,1.42293,1.071,0.98619,0.00835,0.00835,0.00835
52,7699.29,1.50674,1.15009,1.02362,0.35574,0.27633,0.25628,0.14385,1.43016,1.07291,0.98664,0.008317,0.008317,0.008317
53,7846.95,1.51287,1.15362,1.02043,0.36698,0.27509,0.2593,0.14591,1.42249,1.06676,0.98426,0.008284,0.008284,0.008284
54,7995.16,1.51198,1.14544,1.02137,0.36992,0.27375,0.26174,0.14788,1.41823,1.05993,0.98404,0.008251,0.008251,0.008251
55,8143.17,1.50451,1.14178,1.02039,0.36438,0.27464,0.26159,0.14831,1.41513,1.05839,0.98197,0.008218,0.008218,0.008218
56,8291.13,1.50516,1.14627,1.02305,0.34782,0.28083,0.26485,0.14937,1.41519,1.05992,0.98291,0.008185,0.008185,0.008185
57,8438.89,1.5028,1.14345,1.02147,0.35464,0.2799,0.26202,0.14821,1.40641,1.05394,0.97935,0.008152,0.008152,0.008152
58,8586.84,1.49972,1.1391,1.01585,0.37004,0.28153,0.26348,0.14976,1.40812,1.05436,0.97876,0.008119,0.008119,0.008119
59,8734.9,1.49926,1.14099,1.0189,0.36579,0.28425,0.26909,0.15194,1.40531,1.05218,0.98057,0.008086,0.008086,0.008086
60,8883.33,1.49912,1.13377,1.01878,0.37264,0.28516,0.26821,0.15121,1.40633,1.04796,0.97946,0.008053,0.008053,0.008053
61,9030.82,1.49146,1.13373,1.01712,0.36196,0.28747,0.26937,0.15213,1.40146,1.04485,0.97666,0.00802,0.00802,0.00802
62,9178.51,1.48319,1.12417,1.01513,0.36833,0.28878,0.26866,0.15196,1.39567,1.04157,0.97612,0.007987,0.007987,0.007987
63,9326.03,1.48538,1.12284,1.01515,0.37082,0.28362,0.26625,0.15157,1.3972,1.04269,0.97633,0.007954,0.007954,0.007954
64,9473.1,1.48845,1.12655,1.01511,0.38059,0.28739,0.27108,0.153,1.3998,1.04203,0.97888,0.007921,0.007921,0.007921
65,9620.94,1.47747,1.1153,1.01451,0.38375,0.28743,0.27468,0.15592,1.39534,1.0355,0.97713,0.007888,0.007888,0.007888
66,9768.86,1.47158,1.10717,1.01319,0.37726,0.28734,0.27302,0.1545,1.38997,1.039,0.97716,0.007855,0.007855,0.007855
67,9916.91,1.4799,1.11574,1.01349,0.37461,0.28936,0.27459,0.15538,1.39433,1.03886,0.97754,0.007822,0.007822,0.007822
68,10064.9,1.46877,1.10403,1.00869,0.38137,0.28579,0.27371,0.15575,1.38782,1.03286,0.97488,0.007789,0.007789,0.007789
69,10212.2,1.47264,1.10697,1.00928,0.38438,0.2863,0.27566,0.15611,1.3887,1.02841,0.97543,0.007756,0.007756,0.007756
70,10361,1.46918,1.10324,1.00972,0.38311,0.28956,0.27915,0.15781,1.38741,1.02766,0.97476,0.007723,0.007723,0.007723
71,10509.3,1.46927,1.09895,1.01125,0.39053,0.29093,0.27853,0.15822,1.38024,1.02453,0.97268,0.00769,0.00769,0.00769
72,10657.9,1.46629,1.09788,1.00843,0.38252,0.29292,0.27983,0.1599,1.37923,1.0224,0.97178,0.007657,0.007657,0.007657
73,10806,1.47516,1.10506,1.00798,0.39773,0.28807,0.27731,0.15783,1.39782,1.04255,0.97129,0.007624,0.007624,0.007624
74,10953.8,1.49083,1.12367,1.00458,0.37598,0.29519,0.27997,0.15925,1.41113,1.05645,0.97107,0.007591,0.007591,0.007591
75,11101.5,1.49527,1.12518,1.00512,0.38692,0.29043,0.28083,0.16041,1.41475,1.05706,0.96897,0.007558,0.007558,0.007558
76,11249.7,1.49969,1.12162,1.00317,0.38784,0.29161,0.28249,0.16167,1.41532,1.06278,0.96711,0.007525,0.007525,0.007525
77,11397.9,1.50253,1.12916,1.00389,0.38134,0.29926,0.28355,0.16179,1.4167,1.06463,0.96687,0.007492,0.007492,0.007492
78,11545.4,1.49821,1.13178,0.99914,0.38668,0.29198,0.28282,0.16129,1.41533,1.06312,0.96377,0.007459,0.007459,0.007459
79,11693.5,1.49808,1.13235,0.99948,0.37731,0.29236,0.28143,0.16054,1.4119,1.06412,0.96221,0.007426,0.007426,0.007426
80,11842.3,1.50319,1.13215,0.99617,0.37945,0.29617,0.28295,0.16226,1.40939,1.0597,0.96035,0.007393,0.007393,0.007393
81,11991.3,1.49382,1.12378,0.99619,0.38617,0.29556,0.28638,0.16359,1.4061,1.05319,0.95941,0.00736,0.00736,0.00736
82,12140.2,1.49459,1.1191,0.9929,0.37969,0.30056,0.28523,0.1628,1.4061,1.05457,0.95849,0.007327,0.007327,0.007327
83,12289,1.48848,1.11601,0.99213,0.38226,0.30026,0.28786,0.16463,1.40498,1.05113,0.95921,0.007294,0.007294,0.007294
84,12437.5,1.49533,1.12161,0.99227,0.3809,0.30261,0.28699,0.16433,1.39981,1.05097,0.95662,0.007261,0.007261,0.007261
85,12586,1.48074,1.11332,0.98679,0.38428,0.30166,0.28675,0.16397,1.40116,1.04972,0.95708,0.007228,0.007228,0.007228
86,12734.9,1.48799,1.11703,0.99046,0.38251,0.3028,0.28859,0.16473,1.40168,1.04765,0.95681,0.007195,0.007195,0.007195
87,12883.6,1.4786,1.10859,0.99112,0.38633,0.29969,0.28857,0.16511,1.39723,1.04427,0.95524,0.007162,0.007162,0.007162
88,13032.5,1.48295,1.11071,0.99042,0.39337,0.29741,0.28946,0.16573,1.39494,1.04293,0.95541,0.007129,0.007129,0.007129
89,13182,1.48561,1.11628,0.98889,0.3944,0.30081,0.29128,0.16684,1.39167,1.04033,0.95458,0.007096,0.007096,0.007096
90,13331.3,1.47306,1.10586,0.99015,0.38871,0.30056,0.28937,0.16591,1.39411,1.04022,0.95468,0.007063,0.007063,0.007063
91,13480.1,1.47711,1.10262,0.98833,0.38549,0.30195,0.29154,0.16614,1.39173,1.03715,0.95358,0.00703,0.00703,0.00703
92,13628.4,1.47549,1.1066,0.98641,0.38627,0.30088,0.29102,0.16655,1.39147,1.03593,0.95365,0.006997,0.006997,0.006997
93,13777.3,1.47185,1.10206,0.98743,0.38741,0.3026,0.29112,0.16698,1.3889,1.03439,0.9532,0.006964,0.006964,0.006964
94,13926.5,1.47568,1.10064,0.98694,0.39373,0.29891,0.29231,0.16756,1.38639,1.03513,0.95265,0.006931,0.006931,0.006931
95,14075.6,1.46226,1.09011,0.98084,0.39328,0.30281,0.29344,0.16817,1.3877,1.0333,0.95242,0.006898,0.006898,0.006898
96,14224.2,1.47123,1.10015,0.98662,0.38997,0.29978,0.2925,0.16811,1.38598,1.03053,0.95236,0.006865,0.006865,0.006865
97,14372.9,1.46941,1.09202,0.98668,0.38632,0.30676,0.29354,0.16866,1.38408,1.02874,0.95203,0.006832,0.006832,0.006832
98,14521.9,1.46342,1.08537,0.98158,0.39353,0.30597,0.29523,0.17013,1.38356,1.02801,0.95146,0.006799,0.006799,0.006799
99,14670.8,1.46308,1.08829,0.98098,0.39504,0.30602,0.29499,0.16979,1.38414,1.02756,0.95118,0.006766,0.006766,0.006766
100,14819.3,1.46367,1.08875,0.97966,0.38936,0.30626,0.29528,0.17022,1.38188,1.0276,0.95088,0.006733,0.006733,0.006733
101,14967.6,1.45851,1.08128,0.98073,0.39081,0.30592,0.2962,0.17054,1.37935,1.02456,0.94987,0.0067,0.0067,0.0067
102,15116.2,1.45708,1.07725,0.98091,0.39186,0.31072,0.29785,0.1708,1.38054,1.02443,0.95027,0.006667,0.006667,0.006667
103,15265.1,1.45881,1.08103,0.97856,0.39518,0.31203,0.29821,0.17085,1.37884,1.02243,0.94986,0.006634,0.006634,0.006634
