                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1739,                 2.2134,                 2.4343,                0.67572,                0.37206,                0.37218,                 0.1907,                 2.0993,                 2.0429,                 2.3404,              0.0012026,              0.0012026,              0.0012026
                     35,                 2.0728,                 2.1509,                 2.3466,                0.69273,                0.42375,                0.45391,                 0.2259,                 2.0514,                 2.1225,                 2.2797,              0.0011956,              0.0011956,              0.0011956
                     36,                 2.0876,                 2.0989,                 2.3078,                 0.6884,                0.37211,                0.38497,                0.16832,                 2.1824,                 2.2496,                 2.3129,              0.0011885,              0.0011885,              0.0011885
                     37,                 2.0725,                 2.0039,                 2.3931,                0.70791,                0.46489,                0.47364,                0.25251,                 2.0506,                 1.9633,                 2.2848,              0.0011814,              0.0011814,              0.0011814
                     38,                 2.0535,                  1.988,                 2.2871,                0.65175,                0.37018,                 0.3658,                0.16334,                 2.1154,                 2.3291,                 2.3179,              0.0011744,              0.0011744,              0.0011744
                     39,                 2.0286,                 2.0687,                 2.2943,                0.66577,                0.43077,                0.38909,                 0.1887,                 2.1498,                 2.2557,                 2.2564,              0.0011673,              0.0011673,              0.0011673
                     40,                 2.0351,                 2.0233,                 2.2824,                0.76011,                0.46795,                0.42458,                0.23319,                 2.1196,                  2.242,                 2.1987,              0.0011602,              0.0011602,              0.0011602
                     41,                 2.0079,                 1.9706,                 2.2573,                0.86395,                0.53966,                0.55926,                0.30325,                 1.9202,                  1.779,                 2.1555,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.9883,                  1.878,                 2.2347,                0.68533,                0.39103,                0.38271,                0.19699,                 2.1009,                 2.1339,                 2.2691,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.9961,                 1.9567,                 2.2771,                0.75047,                0.52179,                0.52771,                0.24828,                 1.9782,                 1.7216,                 2.1701,               0.001139,               0.001139,               0.001139
                     44,                 2.0173,                 1.9275,                 2.2327,                0.71172,                0.47564,                0.49097,                0.26139,                 1.9157,                 1.8754,                  2.205,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.8964,                 1.8645,                 2.1888,                0.80602,                0.39359,                0.48068,                0.28781,                 1.8978,                 1.8941,                   2.18,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.9384,                 1.7408,                  2.177,                0.81801,                0.54457,                0.55575,                0.33301,                  1.848,                  1.643,                 2.0738,              0.0011178,              0.0011178,              0.0011178
                     47,                  1.892,                 1.8066,                 2.2188,                0.81047,                0.45385,                0.54463,                0.33043,                  1.793,                 1.7494,                 2.0279,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.8493,                 1.7782,                 2.1547,                0.80942,                0.45513,                0.52964,                 0.2742,                 1.9285,                 1.9334,                 2.1407,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.8249,                 1.7329,                   2.09,                0.85498,                0.46654,                0.56367,                0.30747,                 2.0199,                 1.8329,                 2.1694,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.8212,                 1.7274,                 2.1499,                0.84891,                0.44885,                0.51154,                 0.2804,                 1.9016,                 1.8412,                 2.1017,              0.0010895,              0.0010895,              0.0010895
                     51,                  1.824,                 1.6849,                 2.1276,                0.94643,                0.48933,                0.59936,                0.33092,                 1.7927,                 1.8567,                 2.0579,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.8068,                 1.6645,                 2.1258,                0.82186,                0.48462,                0.56055,                 0.3274,                 1.7488,                 1.6456,                  2.024,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.7744,                 1.6405,                 2.1219,                0.75169,                0.45283,                0.50288,                0.27345,                 1.9511,                  1.845,                  2.183,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.8418,                 1.7155,                 2.0979,                0.84872,                0.47162,                0.58644,                0.32929,                 1.8304,                  1.806,                 2.0862,              0.0010612,              0.0010612,              0.0010612
                     55,                  1.751,                 1.6597,                  2.091,                0.83254,                0.48265,                 0.5681,                0.31315,                 1.9492,                 1.8637,                 2.1242,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.7285,                 1.5796,                 2.0236,                0.83388,                0.54097,                 0.6409,                0.38897,                 1.6678,                 1.5747,                 2.0042,               0.001047,               0.001047,               0.001047
                     57,                 1.6908,                 1.5117,                 1.9798,                0.95427,                  0.543,                0.65791,                0.40963,                  1.642,                 1.4797,                 1.9532,                0.00104,                0.00104,                0.00104
                     58,                 1.7041,                 1.4367,                 1.9909,                0.87155,                0.48898,                0.62131,                0.39297,                 1.6316,                 1.6183,                 1.9493,              0.0010329,              0.0010329,              0.0010329
                     59,                  1.659,                 1.5022,                 1.9858,                0.76476,                0.59487,                0.63003,                0.39132,                 1.6896,                 1.6435,                 1.9715,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.6407,                 1.4743,                 1.9825,                 0.9226,                0.56538,                0.65261,                0.41813,                 1.6263,                 1.4559,                 1.9012,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.6196,                 1.4557,                 1.9537,                0.91569,                0.55206,                 0.6171,                0.41832,                 1.5575,                 1.4362,                 1.8866,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.6356,                 1.4449,                 1.9567,                0.99231,                0.53413,                0.62148,                0.40871,                  1.605,                 1.4786,                  1.856,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.5835,                 1.4798,                 1.9463,                0.94831,                0.56154,                0.64481,                0.38942,                 1.5599,                 1.5037,                 1.8335,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.6563,                 1.4443,                 1.9191,                0.93042,                 0.5359,                0.63823,                 0.3859,                 1.8121,                 1.5118,                 2.0219,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.5373,                 1.3313,                 1.9099,                0.91496,                0.51154,                0.64576,                0.39826,                 1.6556,                 1.4488,                 1.9578,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.6157,                 1.4202,                 1.9297,                0.87195,                0.51182,                0.57375,                0.33543,                 1.6798,                 1.7815,                 2.0191,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.5454,                 1.3285,                 1.9165,                0.97443,                0.55708,                0.66808,                0.44208,                 1.5353,                 1.3746,                 1.8751,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.5652,                 1.3394,                 1.9117,                0.93457,                0.50497,                0.60443,                 0.3771,                 1.6124,                  1.629,                 1.9291,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.5984,                 1.3545,                 1.9151,                0.87266,                0.61542,                0.68966,                0.37257,                 1.7068,                 1.4211,                 1.9454,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.6212,                  1.345,                 1.9028,                0.92162,                0.55796,                0.69766,                0.43816,                 1.5653,                 1.3048,                 1.9062,               0.000948,               0.000948,               0.000948
                     71,                 1.5487,                 1.2918,                 1.8782,                   0.94,                0.60819,                0.71231,                0.47225,                 1.4721,                 1.2232,                 1.7632,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.5443,                 1.3142,                  1.938,                0.91273,                0.56735,                0.63273,                0.42843,                 1.4785,                  1.339,                 1.7736,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.5105,                 1.2625,                 1.8623,                0.88619,                0.57254,                0.61427,                0.39218,                 1.5713,                 1.4528,                 1.8676,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.4924,                 1.2315,                 1.8291,                 0.9235,                 0.5261,                0.60162,                0.39828,                 1.6088,                 1.4184,                 1.8753,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.4472,                  1.236,                 1.8194,                 0.9371,                0.59342,                0.69652,                0.48408,                 1.4445,                 1.1902,                   1.73,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.4423,                 1.2445,                 1.7938,                0.92144,                0.62084,                0.66693,                0.44988,                 1.4876,                 1.2353,                 1.7509,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.3915,                 1.1571,                 1.7751,                      1,                0.56323,                0.65699,                0.44788,                 1.5332,                 1.2394,                  1.793,             0.00089848,             0.00089848,             0.00089848
