                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.975,                 2.0102,                 2.2629,                0.74604,                 0.4085,                0.45305,                0.24965,                 1.9687,                 2.1099,                 2.2079,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.9193,                 1.9389,                 2.2607,                 0.7347,                0.39057,                0.41875,                0.22079,                 1.9965,                 2.1619,                 2.2163,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.9091,                 1.9128,                  2.173,                  0.685,                0.45385,                0.48276,                0.26162,                 2.0518,                 2.1871,                 2.3218,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.8948,                 1.8807,                 2.2629,                0.80239,                 0.5394,                0.51147,                0.28225,                 1.8943,                 1.8142,                 2.1716,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.8988,                 1.8809,                 2.1977,                0.83194,                0.48538,                0.48748,                0.26904,                 1.9202,                 2.0308,                 2.1972,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.8802,                 1.8456,                 2.1635,                0.86404,                0.38993,                0.49641,                0.25841,                 1.9882,                 1.9523,                 2.2776,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.8262,                 1.7688,                 2.1332,                0.76814,                0.46795,                0.49606,                0.28185,                 1.9811,                 1.8422,                 2.1406,              0.0011602,              0.0011602,              0.0011602
                     41,                  1.872,                  1.766,                  2.157,                0.78982,                0.51795,                0.53245,                0.30746,                 1.8842,                 1.8484,                 2.1535,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.8415,                 1.7511,                 2.1149,                0.76748,                0.47023,                0.52285,                0.30707,                 1.8621,                 1.9265,                 2.0931,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.8672,                  1.729,                 2.1378,                0.87317,                0.53632,                0.58547,                0.31513,                 1.8994,                 1.6146,                 2.0573,               0.001139,               0.001139,               0.001139
                     44,                 1.7851,                 1.6757,                 2.0974,                 0.7919,                0.35513,                 0.5055,                0.28828,                 1.8128,                 2.0753,                 2.0182,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.7503,                  1.701,                 2.0623,                0.89146,                0.47949,                0.56223,                0.35976,                 1.6856,                 1.6636,                 1.9202,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.8098,                 1.6148,                  2.061,                 0.8763,                0.57436,                0.58081,                0.31456,                  1.942,                 1.6311,                 2.0869,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.7834,                 1.6016,                 2.0609,                0.85122,                0.47564,                0.57699,                0.36818,                 1.6738,                 1.5675,                 1.9444,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.8171,                  1.702,                 2.0891,                 0.8812,                 0.4419,                0.50044,                0.26972,                 1.9191,                 1.9445,                 2.1792,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.8005,                 1.5666,                 2.0559,                0.85481,                0.45641,                0.50318,                0.31118,                 1.7799,                 1.8508,                  2.109,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.7429,                 1.6411,                 2.0929,                0.83939,                0.50641,                0.60426,                0.35613,                 1.7436,                 1.5939,                 2.0526,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.7742,                 1.5902,                 2.0802,                0.87876,                0.55769,                0.58984,                0.36148,                 1.7546,                 1.5547,                 2.0288,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.7251,                  1.556,                   2.03,                0.88821,                0.51744,                0.60127,                0.37652,                 1.6906,                 1.5606,                 2.0154,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.6991,                 1.5932,                 2.0483,                0.96933,                0.44028,                 0.5861,                0.36463,                 1.7431,                 1.5489,                 1.9939,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.7187,                 1.6242,                 2.0284,                0.84819,                0.53735,                0.57847,                0.36082,                 1.6954,                 1.4941,                 1.9758,              0.0010612,              0.0010612,              0.0010612
                     55,                  1.623,                 1.4633,                 1.9917,                0.51773,                0.53089,                0.59142,                0.40206,                 1.6603,                 1.6895,                 1.9721,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.6546,                 1.4676,                 1.9772,                0.87859,                 0.5141,                0.60104,                0.37274,                 1.6907,                 1.5202,                 1.9463,               0.001047,               0.001047,               0.001047
                     57,                 1.6321,                 1.4412,                  1.903,                0.89309,                0.54512,                0.60887,                0.40663,                 1.6911,                 1.4111,                  1.928,                0.00104,                0.00104,                0.00104
                     58,                 1.6342,                  1.424,                 1.9332,                0.94603,                0.52208,                0.61141,                 0.3997,                 1.6559,                 1.3806,                  1.917,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.5813,                 1.4345,                 1.9221,                0.81804,                  0.585,                0.63189,                0.41273,                 1.5931,                 1.4864,                 1.8895,              0.0010258,              0.0010258,              0.0010258
                     60,                  1.572,                   1.44,                 1.9011,                0.88469,                0.54334,                0.58019,                0.37257,                 1.6456,                 1.5505,                 1.9159,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.5931,                 1.3725,                 1.9046,                0.84144,                  0.569,                 0.6126,                0.39921,                 1.5872,                 1.4432,                 1.8791,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.5136,                 1.3083,                 1.8489,                 0.8565,                0.61167,                0.64842,                0.42171,                  1.537,                  1.407,                 1.8149,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.5647,                 1.3623,                 1.8896,                0.91064,                0.54684,                0.61165,                0.39989,                 1.6322,                  1.404,                 1.8925,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.6064,                 1.3335,                  1.837,                0.90543,                 0.5557,                0.60801,                0.40085,                 1.5498,                  1.644,                 1.8222,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.4566,                 1.3193,                 1.8418,                0.91909,                0.58164,                 0.6419,                0.41256,                 1.6197,                 1.3805,                 1.9189,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.5194,                 1.2837,                 1.8481,                0.95794,                0.61154,                0.63822,                 0.4189,                 1.6006,                 1.2284,                 1.8295,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.4841,                 1.3141,                 1.8699,                0.68557,                0.65466,                 0.6554,                0.41988,                 1.6215,                  1.302,                 1.8685,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.4531,                 1.2685,                 1.8213,                0.59943,                0.66289,                0.66823,                0.42542,                 1.6188,                 1.2978,                 1.8867,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.5507,                 1.2396,                 1.8558,                 0.9049,                0.62436,                 0.6629,                0.41108,                 1.6608,                 1.2245,                 1.9574,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.5371,                 1.2682,                 1.8166,                0.94551,                0.57695,                0.68161,                0.44647,                 1.5276,                 1.2363,                 1.8197,               0.000948,               0.000948,               0.000948
                     71,                 1.4573,                  1.229,                 1.8203,                0.91013,                0.59333,                0.65535,                0.44115,                 1.4744,                  1.234,                 1.7664,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.4502,                  1.211,                 1.8271,                0.87696,                0.61154,                0.62706,                0.39726,                 1.6465,                  1.498,                 1.9459,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.4063,                 1.2191,                  1.807,                0.97847,                0.60515,                 0.6901,                0.45955,                 1.4775,                 1.1783,                 1.7615,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.3926,                 1.1627,                 1.7514,                0.96351,                0.60769,                0.63969,                0.43518,                 1.4631,                 1.1919,                 1.7601,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.4147,                 1.1474,                 1.7696,                 0.9234,                 0.6232,                0.65194,                 0.4383,                 1.5288,                 1.5329,                 1.8483,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.3939,                 1.1569,                 1.7683,                0.97281,                0.61712,                0.66165,                0.45686,                 1.5005,                 1.1804,                 1.7527,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.3592,                 1.1088,                  1.739,                0.97562,                0.59872,                0.67953,                 0.4496,                 1.5046,                 1.1261,                 1.7261,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.3879,                 1.1553,                 1.7395,                0.99695,                0.60868,                0.70305,                0.44759,                 1.5632,                 1.1809,                 1.8221,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.3718,                 1.1056,                  1.741,                 0.7594,                 0.6603,                0.69229,                 0.4616,                 1.4819,                 1.2238,                 1.7632,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.4069,                 1.1158,                  1.793,                0.80721,                0.63684,                0.67694,                0.45529,                 1.4453,                 1.1824,                 1.7595,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.3993,                 1.0837,                 1.7346,                0.82293,                0.66192,                0.70083,                0.46774,                 1.4306,                 1.1153,                 1.7173,             0.00087019,             0.00087019,             0.00087019
                     82,                   1.43,                 1.0859,                 1.7526,                0.70854,                0.69735,                0.69215,                0.49273,                 1.3966,                 1.0761,                 1.7291,             0.00086312,             0.00086312,             0.00086312
                     83,                  1.392,                 1.1187,                  1.699,                0.96311,                0.59487,                0.66194,                0.41217,                 1.5326,                  1.338,                 1.8163,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.3726,                 1.1107,                 1.7542,                0.94514,                0.61698,                0.65766,                0.43728,                 1.5817,                 1.2369,                 1.8721,             0.00084897,             0.00084897,             0.00084897
                     85,                  1.379,                 1.0604,                  1.728,                0.93946,                0.61927,                0.65433,                0.44946,                 1.4629,                 1.0917,                 1.7699,              0.0008419,              0.0008419,              0.0008419
                     86,                  1.312,                 1.0086,                 1.6847,                0.91192,                0.62925,                0.64462,                0.46626,                 1.3955,                 1.1203,                 1.6988,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.3048,                 1.0373,                 1.6784,                0.96125,                0.61694,                0.67969,                0.45801,                 1.4248,                 1.1541,                 1.7541,             0.00082775,             0.00082775,             0.00082775
                     88,                  1.347,                 1.0785,                 1.6889,                0.98103,                0.59074,                 0.6584,                0.45379,                 1.3953,                 1.1232,                 1.7242,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.2943,                 1.0492,                 1.6336,                0.79758,                0.69006,                0.70305,                0.47202,                 1.5066,                  1.053,                 1.7792,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.2945,                 1.0032,                 1.6732,                0.72063,                0.68415,                0.69383,                0.47329,                 1.4425,                 1.0357,                 1.7173,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.3105,                  1.025,                 1.6618,                 0.6593,                0.67626,                0.66936,                0.46078,                 1.5136,                 1.1741,                 1.7993,             0.00079945,             0.00079945,             0.00079945
