                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0821,                 2.0649,                 2.3405,                0.58324,                0.41154,                0.39034,                 0.1789,                 2.2075,                 2.3406,                 2.3495,              0.0012026,              0.0012026,              0.0012026
                     35,                 2.0983,                 2.0664,                 2.4075,                0.89938,                0.19298,                0.24652,                0.14751,                 2.2178,                  2.757,                 2.3458,              0.0011956,              0.0011956,              0.0011956
                     36,                  2.108,                 2.0583,                 2.3497,                0.59854,                0.53448,                 0.4535,                0.21476,                 2.1132,                 3.0205,                 2.3282,              0.0011885,              0.0011885,              0.0011885
                     37,                 2.0046,                 1.9721,                 2.3664,                0.94899,                0.27691,                0.47807,                0.23909,                 1.9809,                 2.3153,                 2.2691,              0.0011814,              0.0011814,              0.0011814
                     38,                 2.0475,                  1.956,                  2.299,                0.85665,                0.49359,                0.52587,                0.29064,                 1.9432,                  1.923,                 2.2094,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.9933,                 1.9951,                  2.267,                 0.7913,                0.28333,                0.39035,                 0.1934,                  2.202,                 2.3222,                 2.3872,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.9925,                 1.9803,                 2.2864,                0.99848,                0.18333,                0.40524,                0.17858,                 2.0934,                 2.8723,                  2.308,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.9423,                 1.9376,                 2.2188,                0.66932,                0.46667,                 0.4752,                0.24541,                 1.9321,                 1.9628,                 2.1789,              0.0011531,              0.0011531,              0.0011531
                     42,                 2.0149,                 1.8989,                 2.2553,                0.81126,                0.46282,                0.49221,                0.25804,                 2.0002,                 1.8655,                 2.1998,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.9837,                 2.0205,                 2.2752,                0.75965,                0.53861,                0.51364,                0.27082,                 1.9298,                 1.8517,                 2.2022,               0.001139,               0.001139,               0.001139
                     44,                 1.8999,                 1.8498,                 2.2093,                0.92362,                0.34394,                0.46897,                0.25741,                 1.8873,                 2.2225,                 2.1317,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.9475,                 1.7913,                 2.2166,                0.69068,                0.47408,                0.60521,                0.33186,                 1.8456,                 1.8608,                 2.1044,              0.0011248,              0.0011248,              0.0011248
                     46,                   1.92,                 1.7663,                 2.1703,                0.73013,                0.45824,                0.54581,                0.29979,                 1.8793,                  2.075,                 2.0636,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.8909,                 1.7869,                 2.1741,                0.82813,                0.53097,                0.58895,                0.30019,                 1.9286,                 1.6407,                   2.09,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.8686,                 1.7489,                 2.1414,                0.84089,                0.50591,                0.60878,                 0.3306,                 1.8595,                 1.8584,                  2.055,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.8198,                 1.7359,                 2.1052,                0.90496,                 0.5544,                0.57487,                 0.3271,                 1.8761,                 1.8221,                 2.1471,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.8293,                 1.7288,                 2.1579,                0.83276,                0.52492,                0.53726,                0.32434,                 1.8331,                 1.8172,                 2.0351,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.8381,                 1.6831,                  2.123,                0.80918,                0.59487,                0.64605,                 0.3528,                 1.8654,                 1.6126,                 2.1467,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.8087,                  1.677,                 2.1153,                0.81465,                0.47692,                0.54284,                0.30512,                 1.8777,                 1.7049,                 2.1015,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.7547,                 1.6079,                 2.1026,                0.83689,                0.55488,                0.59454,                0.36429,                 1.7793,                 1.6151,                 2.0013,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.8019,                 1.7215,                 2.1016,                 0.8497,                0.50941,                0.55177,                0.33758,                 1.7678,                 1.6116,                 2.0293,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.6982,                 1.5709,                 2.0733,                0.94605,                0.56538,                0.62332,                0.37899,                  1.738,                 1.5105,                 2.0365,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.7382,                 1.5294,                 2.0247,                0.89029,                0.47564,                0.57518,                0.36788,                 1.7895,                 1.6019,                      2,               0.001047,               0.001047,               0.001047
                     57,                 1.7279,                 1.5791,                 1.9893,                0.93072,                0.53751,                0.60508,                0.36833,                 1.7984,                  1.478,                 2.0352,                0.00104,                0.00104,                0.00104
                     58,                 1.6646,                 1.4925,                 1.9853,                0.93417,                0.58084,                 0.6053,                0.39493,                 1.6861,                 1.5247,                 1.9647,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.6864,                 1.5237,                 2.0177,                0.90384,                0.58116,                0.60589,                0.39513,                 1.6808,                 1.5893,                 1.9553,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.6489,                 1.4885,                 1.9752,                0.94133,                 0.5141,                0.65914,                0.40998,                 1.6716,                 1.4759,                 1.9359,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.6725,                 1.4717,                 1.9745,                0.95149,                0.47475,                0.57298,                0.34834,                 1.8924,                 1.6635,                 2.0533,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.6857,                 1.4526,                 1.9672,                0.86353,                0.61538,                0.70184,                0.41251,                 1.6452,                 1.3002,                 1.8926,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.6399,                 1.4416,                 1.9771,                0.94503,                0.56026,                0.70648,                0.41321,                 1.7037,                 1.2429,                  1.892,             0.00099751,             0.00099751,             0.00099751
                     64,                  1.655,                 1.4504,                 1.9143,                0.94401,                0.59487,                0.70273,                0.44228,                 1.5722,                 1.2735,                 1.8614,             0.00099044,             0.00099044,             0.00099044
                     65,                  1.594,                 1.3743,                 1.9634,                0.83679,                0.69469,                0.69876,                0.42407,                 1.7543,                 1.3726,                 1.9562,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.6014,                 1.3309,                 1.9086,                0.89728,                0.57453,                 0.6163,                0.38047,                 1.7222,                 1.4459,                 1.9149,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.5855,                 1.3161,                 1.9503,                0.94684,                0.60229,                  0.638,                0.42005,                 1.6124,                 1.3689,                 1.8853,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.5719,                 1.3242,                  1.904,                0.91751,                0.58521,                0.66741,                0.41561,                 1.5994,                 1.5116,                 1.8754,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.6448,                 1.3272,                 1.9274,                0.90678,                 0.4378,                0.56355,                0.36038,                 1.7494,                 1.8713,                 1.9722,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.5889,                 1.3614,                 1.8816,                 0.6912,                0.65082,                0.68402,                0.44101,                 1.5287,                 1.3336,                 1.8493,               0.000948,               0.000948,               0.000948
                     71,                 1.5392,                 1.3063,                   1.88,                0.92157,                0.60207,                0.72159,                0.44832,                  1.609,                 1.1911,                 1.8551,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.5363,                 1.3173,                 1.9117,                0.86254,                0.61371,                0.65831,                0.43969,                 1.5804,                 1.3148,                 1.8331,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.5591,                 1.3109,                 1.9071,                0.98072,                0.58205,                0.66701,                0.41047,                 1.6693,                 1.1866,                 1.9326,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.5412,                 1.2632,                 1.8523,                0.96542,                 0.5794,                0.67171,                0.42185,                 1.6778,                 1.2484,                 1.9224,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.5083,                 1.2214,                 1.8572,                0.94938,                0.58847,                0.70534,                0.45638,                 1.5684,                 1.2661,                 1.8542,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.5155,                 1.2274,                 1.8588,                0.76339,                0.66792,                0.69643,                 0.4313,                 1.6684,                 1.2779,                 1.9045,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.4534,                 1.2119,                 1.8218,                0.95393,                0.62007,                0.71358,                0.42499,                 1.5459,                 1.1341,                 1.8123,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.4845,                 1.2392,                 1.8332,                0.68255,                0.68497,                0.71958,                0.41554,                 1.6523,                 1.1283,                 1.9002,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.4518,                 1.1945,                 1.8264,                0.98127,                0.61949,                0.74997,                 0.4579,                 1.5837,                 1.0417,                 1.8286,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.4562,                 1.2238,                 1.8394,                0.97442,                0.59069,                  0.661,                0.43362,                 1.5164,                 1.1952,                 1.8897,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.4485,                 1.1937,                 1.8108,                0.99379,                0.60411,                0.71679,                0.45586,                 1.4961,                 1.1975,                 1.7953,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.4729,                 1.1658,                 1.8186,                0.97735,                0.59396,                0.67212,                0.43809,                 1.5428,                 1.1818,                 1.8117,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.5084,                 1.2217,                 1.8144,                0.98443,                0.59103,                0.64083,                0.42889,                 1.5631,                 1.2519,                 1.8896,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.4156,                 1.1564,                 1.8288,                      1,                0.56879,                0.65357,                0.46225,                 1.4436,                 1.1088,                 1.7556,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.4342,                 1.1292,                 1.7972,                0.93434,                0.59487,                0.67098,                0.43232,                 1.5418,                 1.2933,                 1.8048,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.3935,                   1.07,                 1.7603,                0.95359,                0.60769,                0.65046,                0.45109,                 1.4668,                 1.1721,                 1.8195,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.4044,                 1.1111,                 1.7811,                 0.9717,                0.57914,                0.64003,                0.45015,                 1.5141,                 1.2945,                 1.8533,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.4279,                 1.0979,                 1.7502,                0.94984,                0.63639,                0.65684,                0.45365,                 1.4591,                 1.0631,                 1.7664,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.3818,                 1.1177,                 1.7044,                0.65334,                0.68497,                0.65567,                0.46219,                 1.4892,                 1.1178,                 1.7234,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.3773,                  1.105,                 1.7288,                0.74542,                0.73315,                0.70942,                0.46821,                 1.4392,                 1.0679,                 1.7189,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.4042,                 1.1152,                 1.7389,                0.86962,                0.69778,                0.71979,                0.45727,                 1.4275,                 1.0801,                 1.7095,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.3893,                 1.0861,                 1.7503,                0.96619,                0.60849,                0.65841,                0.45696,                 1.4342,                  1.095,                 1.7077,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.3648,                 1.0999,                  1.707,                0.70787,                 0.6803,                0.69559,                0.47448,                 1.3835,                 1.0665,                 1.6988,             0.00078531,             0.00078531,             0.00078531
