                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0423,                 2.1704,                   2.35,                0.69471,                0.43159,                0.41612,                0.21954,                 2.0679,                 2.2794,                 2.3946,              0.0012026,              0.0012026,              0.0012026
                     35,                 2.0437,                 2.0942,                 2.3671,                0.68413,                0.46043,                0.42501,                 0.2277,                 2.1003,                 2.1226,                 2.3341,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.9849,                 2.0438,                 2.2463,                0.65157,                0.34726,                 0.4022,                0.19764,                 2.0607,                 2.2947,                 2.3052,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.9201,                 2.0227,                 2.2684,                 0.7885,                0.44105,                0.47269,                0.24809,                 2.0994,                 2.0114,                  2.303,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.9505,                 1.9849,                 2.2288,                0.70264,                0.47051,                 0.5322,                0.26461,                 2.0355,                 2.2469,                 2.2755,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.8718,                 1.9688,                 2.1906,                0.66896,                 0.4865,                0.46349,                0.23597,                 2.0844,                 1.9705,                 2.2019,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.8787,                 1.9475,                 2.2003,                0.85044,                0.41743,                0.50311,                0.27031,                 1.8363,                 2.0859,                 2.1069,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.8811,                 1.9228,                  2.183,                0.62867,                0.41538,                0.42995,                0.23802,                 2.1283,                  2.298,                 2.2793,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.8667,                 1.8255,                 2.2133,                0.76007,                0.44276,                0.45791,                0.25431,                 1.9506,                 1.9817,                 2.2366,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.8643,                 1.8196,                  2.181,                 0.7778,                0.41462,                0.48596,                0.24508,                 2.0917,                 2.1126,                 2.3458,               0.001139,               0.001139,               0.001139
